문제,문항1,문항2,문항3,문항4,정답
다음 중 올바른 외래어 표기는 무엇입니까?,악세서리,악새서리,액세서리,악서사리,3
다음 중 올바른 외래어 표기는 무엇입니까?,아젠다,아잰다,어젠다,어젠다(agenda),3
다음 중 올바른 외래어 표기는 무엇입니까?,엣지,에찌,에지,엣쥐,3
다음 중 올바른 외래어 표기는 무엇입니까?,쥬얼리,주어리,주얼리,쥬어리,3
다음 중 올바른 외래어 표기는 무엇입니까?,컨셉,컨셉트,콘셥,콘셉트,4
다음 중 올바른 외래어 표기는 무엇입까?,콜렉션,컬렉숀,컬렉션,컬랙션,3
다음 중 올바른 외래어 표기는 무엇입니까?,탑,톱,턉,텃,2
다음 중 올바른 외래어 표기는 무엇입니까?,테라피,테라피(therapy),세러피,세라피,3
다음 중 올바른 외래어 표기는 무엇입니까?,토탈,토털,토우탈,토올,2
다음 중 올바른 외래어 표기는 무엇입니까?,판넬,패널,판넬(panel),파넬,2
다음 중 올바른 외래어 표기는 무엇입니까?,플렉서블,플렉시불,플렉시블,플렉서불,3
다음 중 올바른 외래어 표기는 무엇입니까?,휘트니스,휘트니스(fitness),피트네스,피트니스,4
다음 중 올바른 외래어 표기는 무엇입니까?,프리젠테이션,프리젠테이숀,프레젠테이션,프레젠테이숀,3
다음 중 외래어 표기법에 따른 외국 인명 표기 원칙으로 옳은 것은?,현지음이 아닌 제 3 국의 발음으로 통용되는 것은 예외 없이 현지음으로 표기한다.,외국인명은 원칙적으로 현지음대로 표기한다.,된소리 표기는 모든 외국어 인명에 허용하지 않는다.,미들네임은 어떠한 경우에도 생략하지 않는다.,2
다음 중 아시아경제신문 스타일 북의 외래어 표기 원칙에 따라 올바르게 표기된 인명은?,간디 (Gandhi),헤이그 (Hague),시져 (Caesar),앙카라 (Ankara),1
중국 인명 표기에 대한 설명 중 옳은 것은?,모든 중국 인명은 현지음대로 표기한다.,1911 년 신해혁명 이후의 인명은 한자음대로 표기한다.,1911 년 신해혁명을 기준으로이전 인명은 한자음대로 이후 인명은 중국어 표기법에 따라 표기한다.,중국 인명은 어떠한 경우에도 한자를 병기하지 않는다.,3
외국인 인명 표기 시 성과 이름의 띄어쓰기 원칙에 맞지 않는 것은?,리커창 (중국),도널드트럼프 (미국),호찌민 (베트남),누르술탄 나자르바예프 (카자흐스탄),2
다음 중 미들네임 표기 원칙에 따라 올바르게 표기된 인명은?,조지 W 부시,O.J.심슨,조지 W. 부시,O J 심슨,3
서양인의 성명 가운데 'Junior'를 표기하는 방법으로 옳은 것은?,Junior,Jr.,Jr,Junior.,3
다음 중 '후진타오'의 올바른 표기는?,후진따오,후진타오,후 진 타오,후진타우,2
다음 중 성과 이름을 붙여 쓰는 외국 인명 표기 원칙에 따라 올바르게 표기된 인명은?,도널드 트럼프 (미국),마크 저커버그 (미국),리커창 (중국),쥐스탱 트뤼도 (캐나다),3
다음 중 '오스트레일리아 골프 선수'의 올바른 표기는?,애덤 스콧 (오스트레일리아 골프선수),애덤스코트 (오스트레일리아 골프선수),아담 스콧 (오스트레일리아 골프선수),애덤 스콭 (오스트레일리아 골프선수),1
다음 중 '베트남'의 '호찌민'의 올바른 표기는?,호치민,호찌민,호지민,호찌 민,2
다음 중 '영국의 디자이너'의 올바른 표기는?,스텔라 매카트니,스텔라 맥카트니,스텔라 맥커트니,스텔라 메카트니,1
다음 중 '독일 대통령'의 올바른 표기는?,프랑크발터 슈타인마이어,프랑크 발터 슈타인마이어,프랭크발터 슈타인마이어,프랑크발터 슈타인 마이어,1
다음 중 '미국 경제학자'의 올바른 표기는?,폴 크루그먼,폴크루그먼,폴 크루만,폴 크루그만,1
다음 중 '러시아 대통령'의 올바른 표기는?,블라디미르 푸틴,블라디미르 푸친,블라디미르 푸틴 씨,블라디미르 푸틴 대통령님,1
다음 중 '튀르키예 대통령'의 올바른 표기는?,레제프 타이이프 에르도안,레제프 타이프 에르도안,레제프 타이이프 에르도안 대통령,레젭 타이이프 에르도안,1
다음 중 '메타 CEO'의 올바른 표기는?,마크 저커버그,마크 주커버그,마크 저커버그 CEO,마크 저크버그,1
다음 중 '영국 작곡가'의 올바른 표기는?,앤드루 로이드 웨버,앤드류 로이드 웨버,앤드루 로이드 웨버 씨,앤드루 로이드 웨버님,1
다음 중 '전 일본 총리'의 올바른 표기는?,아베 신조,아베 신죠,아베 신조 총리,아베 신조님,1
다음 중 '이탈리아 디자이너'의 올바른 표기는?,조르조 아르마니,조르지오 아르마니,조르조 아르마니 씨,조르지오 아르마니 디자이너,1
다음 중 '전 유엔 사무총장'의 올바른 표기는?,이리나 보코바,이리나 보꼬바,이리나 보코바 총장님,이리나 보코바 씨,1
다음 중 '인도네시아 대통령'의 올바른 표기는?,조코 위도도,조코위도도,조코 위도도 대통령님,조꼬 위도도,1
다음 중 '전 캐나다 총리'의 올바른 표기는?,스티븐 하퍼,스티븐 하퍼 총리,스티븐 하퍼님,스티븐 하퍼 씨,1
다음 중 '전 남아프리카공화국 대통령'의 올바른 표기는?,제이컵 주마,제이콥 주마,제이컵 주마님,제이컵 주마씨,1
다음 중 '영국 하원의원'의 올바른 표기는?,테리사 메이,테레사 메이,테리사 메이 의원,테리사 메이님,1
다음 중 '전 콜롬비아 대통령'의 올바른 표기는?,후안 마누엘 산토스,후안 마누엘 산토스 대통령,후안 마누엘 산토스님,후안 마누엘 산토스씨,1
다음 중 '이탈리아 총리'의 올바른 표기는?,마리오 드라기,마리오 드라기 총리,마리오 드라기님,마리오 드라지,1
다음 중 '전 애플 최고디자인책임자'의 올바른 표기는?,조너선 아이브,조나단 아이브,조너선 아이브 최고디자인책임자,조너선 아이브님,1
다음 중 '전 야후 CEO'의 올바른 표기는?,머리사 메이어,머리사 메이어 CEO,머리싸 메이어,머리사 마이어,1
다음 중 '나이키 의장'의 올바른 표기는?,마크 파커,마크 파커 의장,마크 파커님,마크 파카,1
다음 중 '영국 배우'의 올바른 표기는?,틸다 스윈턴,틸다 스윈튼,틸다 스윈턴 배우,틸다 스윈턴 씨,1
다음 중 '미국 배우'의 올바른 표기는?,앤젤리나 졸리,안젤리나 졸리,엔젤리나 졸리,앤젤리나 졸리 씨,1
다음 중 '흑인해방운동가'의 올바른 표기는?,마틴 루서 킹,마틴 루터 킹,마틴 루서 킹님,마틴 루서 킹 씨,1
다음 중 '전 이라크 총리'의 올바른 표기는?,누리 알말리키,누리 알 말리키,누리 알마리키,누리 알말리키 총리님,1
다음 중 '프랑스 국민전선 대표'의 올바른 표기는?,마린 르펜,마린 르펜 대표,마린 르팽,마린 르펜님,1
다음 중 '미국 상원의원'의 올바른 표기는?,마르코 루비오,마르코 루비오 의원,마르코 루비오님,마르꼬 루비오,1
되어'의 올바른 축약 표기는?,되,돼,되여,됭,2
다음 중 아시아경제신문 표기 원칙에 따라 축약하지 않는 단어는?,하여,주어,되어,선보이다,4
따옴표 안의 문장이 '-다(했다 이다 되다 하다 등)'로 끝나는 경우 이어서 사용하는 올바른 인용 표현은?,고,라고,이라며,이고,1
따옴표 안의 문장에서 종결어미를 생략하고 명사로 끝낼 수 있을 때 사용하는 인용 표현은?,고,며,(이)라며,는,3
vs'의 올바른 표기 방식은?,VS,Vs,vs,vS,3
vs'를 본문에 사용하는 것이 허용되는가?,항상 허용된다.,특정 부서의 요청이 있을 때만 허용된다.,되도록 본문에는 적지 않되 제목에 허용한다.,제목을 포함한 모든 경우에 허용된다.,3
&' 기호 앞뒤 단어의 띄어쓰기는 어떻게 하는가?,띄어 쓴다.,붙여 쓴다.,&' 앞에만 띄어 쓴다.,&' 뒤에만 띄어 쓴다.,2
아시아경제신문 표기 원칙에 따라 '5G 통신망'을 표기할 때 '5G' 뒤에 붙는 조사('에' '와' 등)는 어떻게 쓰는가?,5G 에'처럼 숫자를 한국어로 읽은 뒤 조사를 붙인다.,5G 와'처럼 숫자를 영어로 읽지 않고 그대로 붙인다.,파이브지에'처럼 숫자를 영어로 읽은 뒤 조사를 붙인다.,오지에'처럼 숫자를 한국어로 읽은 뒤 조사를 붙인다.,3
사고 기사 표기에서 기본적으로 사용하는 기호와 처리 방식은?,▲에 볼드체,▶에 이탤릭체,◆에 고딕처리,*에 밑줄,3
아시아경제신문 표기 원칙에 따른 사진 바이라인 표기 방식은?,사진출처: OOO 기자,사진=OOO 기자 (본인이 찍은 경우),이미지제공: OOO 스튜디오,사진촬영: OOO,2
사진 바이라인 표기 시 '사진출처' '이미지출처' 등의 표현이 가능한가?,아니오 '사진='만 가능하다.,예 가능하다.,사진출처'만 가능하다.,이미지제공'만 가능하다.,2
홈페이지 주소를 기사 중에 표기할 때 'http://'를 어떻게 처리하는가?,반드시 포함해야 한다.,www.' 앞에만 생략한다.,생략한 나머지 부분을 쓴다.,임의로 선택 가능하다.,3
정부 부처를 기사에서 처음 언급할 때의 표기 원칙은?,줄임말로 쓴다.,부처 명을 다 밝혀 쓴다.,괄호 안에 줄임말을 병기한다.,약어만 사용한다.,2
과학기술정보통신부'의 올바른 줄임말은?,과기부,과기정통부,과학통신부,과정부,2
다음 중 줄임말이 없는 정부 부처는?,고용노동부,국토교통부,교육부,기획재정부,3
행정안전부'의 올바른 줄임말은?,행안부,행정부,안행부,안전부,1
인사동정 기사에서 기관의 인사 순서는?,기업 학교 병원 언론기관 정부 공공기관(부처청),정부 공공기관(부처청) 기업 학교 병원 언론기관,언론기관 정부 공공기관(부처청) 기업 학교 병원,학교 병원 언론기관 정부 공공기관(부처청) 기업,3
부고 표기 시 사망 일시를 명기하는가?,예 반드시 명기한다.,예 유가족 요청 시 명기한다.,아니오 표기하지 않는다.,예 사망 요인이 중요할 경우 명기한다.,3
부고 기사를 실을 때의 순서 원칙은?,사망자 연령순,사망자 직위순,발인이 빠른 순서,유족이 많은 순서,3
언론인이나 유명인의 부고는 다른 부고보다 어떻게 처리하는가?,다른 부고와 동일하게 처리한다.,다른 부고보다 앞으로 싣는다.,별도 면에 싣는다.,온라인으로만 공개한다.,2
공동 기사 작성 시 기여도가 높은 기자의 바이라인을 적는 원칙에서 일반적인 경우 최대 몇 명까지 표기할 수 있는가?,1 명,2명,3 명,4 명,2
대형 기획 기사 등 예외적인 경우에 공동 기사 바이라인에 몇 명까지 표기할 수 있는가?,1 명,2 명,3명,4 명,3
공동 기사 참여자가 4명 이상일 경우 활용하는 표기 방식은?,대표 기자 1 명만 표기.,모든 참여자를 '외 O 명'으로 표기.,특별취재팀' 표기 방식을 활용해 참여자 모두 적시.,공동취재단'으로 표기.,3
출장이나 특파원 기사의 바이라인 기본 형식은?,이름 (출장지) 아이디@,출장지=이름 아이디@,이름@출장지,(출장지) 이름 아이디,2
국내 및 국외 출장(특파원 포함) 간 기자와 기사를 공동 작성할 경우 바이라인 표기 시 출장지 및 세종을 밝혀 적는가?,아니오 생략한다.,예 밝혀 적는다.,오직 국내 출장 시에만 밝혀 적는다.,오직 해외 출장 시에만 밝혀 적는다.,2
아시아경제 소속 기자와 아시아경제 외 계열사 소속 기자가 공동으로 기사를 작성할 경우 바이라인 순서는?,계열사 소속 기자부터,기여도 순으로,아시아경제 소속 기자부터,임의 순서,3
자회사 소속 기자의 이메일 주소 표기 시 이메일 주소 뒷부분(@ 이하)을 생략하는가?,예 생략한다.,아니오 생략하지 않는다.,선택적으로 생략할 수 있다.,아시아경제 소속 기자'만 이메일 주소를 표기한다.,2
해외 출장 기사나 국내 출장 기사에서 바이라인에 나라 이름이나 광역자치단체를 넣는가?,예 항상 넣는다.,예 필요한 경우에만 넣는다.,아니오 넣지 않는다.,해외 기사에만 넣는다.,3
"해외 기사에서 두 개 이상의 출처를 표기할 경우의 바이라인 형식은?,출처 1·출처 2, 도시,도시",출처 1·출처 2,도시=출처 1·출처 2,(도시) 출처 1,출처 2,3
다음 중 **'방증(傍證)'**의 의미로 가장 적절한 것은?,어떤 사실이나 주장이 옳지 아니함을 그에 반대되는 근거를 들어 증명하는 것,사실을 직접 증명하지는 않지만 주변의 상황을 밝힘으로써 간접적으로 증명에 도움을 주는 증거,어떤 사실과 모순되는 것 같지만 오히려 그것을 증명한다고 볼 수 있는 사실,거짓임을 증명하는 명확한 증거,2
다음 중 **'반증(反證)'**의 의미로 모두 해당하는 것은?,사실을 직접 증명하지는 않지만 주변 상황을 통해 간접적으로 증명에 도움을 주는 증거,어떤 사실이나 주장이 옳지 아니함을 그에 반대되는 근거를 들어 증명하는 것,어떤 사실과 모순되는 것 같지만 오히려 그것을 증명한다고 볼 수 있는 사실,b 와 c 모두,4
"""FRB 가 양적완화를 당분간 유지하기로 결정한 것은 미 경기회복세가 충분치 않다는 방증이다.""에서 '방증'의 의미로 올바른 것은?",직접적인 반대 증거,간접적으로 사실을 뒷받침하는 증거,사실이 아님을 증명하는 증거,의도적으로 숨겨진 증거,2
"""이는 되레 메르켈 총리의 강력한 영향력을 보여주는 반증이다.""에서 '반증'의 의미로 올바른 것은?",그녀의 영향력이 없음을 명확히 보여주는 증거,그녀의 영향력에 대한 직접적인 비판,겉으로는 모순되지만 실제로는 영향력을 증명하는 증거,영향력을 부인하는 근거,3
다음 중 앞말이 관형어 구실을 하게 하고 어떤 일이 과거에 완료되지 않고 중단되었다는 미완의 의미를 나타내는 어미는?,~든,~던,~지,~고서,2
다음 중 나열된 동작이나 상태 대상들 중에서 어느 것이든 선택될 수 있음을 나타내는 연결 어미는?,~던,~든,~는,~며,2
"""구글 애드를 통해 등장하는 각종 광고가 과거 검색했던 상품으로 바뀌어 있는 경우들이 좋은 예다.""에서 올바른 표기는?",검색하든,검색할던,검색했던,검색하든지,3
"""'박근혜표 행복주택'이든 '박원순표 임대주택'이든 곳곳에서 파열음이 나고 있다.""에서 밑줄 친 '-든'의 사용이 올바른 이유는?",과거의 일을 회상하기 위함,강조의 의미를 더하기 위함,두 가지 선택지 중 어느 것이든 해당됨을 나타내기 위함,문장의 의미를 명확하게 하기 위함,3
모음이나 'ㄴ' 받침 뒤에 이어지는 '률' 또는 '렬'의 올바른 표기 원칙은?,항상 '률' 또는 '렬'로 쓴다.,율' 또는 '열'로 쓴다.,임의로 선택하여 쓸 수 있다.,해당 단어의 한자음에 따라 결정한다.,2
다음 중 '율' 또는 '열'로 표기해야 하는 경우가 아닌 것은?,모음 뒤에 올 때,ㄴ' 받침 뒤에 올 때,ㄱ' 받침 뒤에 올 때,ㄹ' 받침 뒤에 올 때,3
다음 중 수단이나 도구 재료 등을 나타낼 때 쓰는 표현은?,~로서,~로써,~으로서,~에 의하여,2
"""그녀는 2011 년부터 오픈리치 부문의 최고경영자(CEO)로서 25 억파운드가 투입된 광통신 브로드밴드 출시를 총괄했다.""에서 밑줄 친 '-로서'의 사용이 올바른 이유는?",수단을 나타내기 때문,결과를 나타내기 때문,자격을 나타내기 때문,시간을 나타내기 때문,3
"""국제결제은행(BIS) 기준 자기자본비율을 조작함으로써 법을 위반했다.""에서 밑줄 친 '-으로써'의 사용이 올바른 이유는?",신분을 나타내기 때문,지위를 나타내기 때문,수단이나 방법을 나타내기 때문,이유를 나타내기 때문,3
다음 중 올바른 표기법에 맞는 것은?,구름량,어린이란,알칼리양,가십란,3
다음 중 '거래량'의 표기가 올바른 이유는?,고유어 명사 뒤에 왔기 때문,외래어 명사 뒤에 왔기 때문,한자어 명사 뒤에 왔기 때문,의미 강조를 위함,3
길게 하거나 처지게 하거나 벌여 놓는다는 의미로 쓰이는 동사는?,늘리다,늘이다,늘어지다,늘려주다,2
"다음 중 ""바짓단을 길게 하다""는 의미에 맞는 올바른 표현은?",바짓단을 늘리다,바짓단을 늘이다,바짓단을 늘려 놓다,바짓단을 늘여서,2
"다음 중 ""병력을 증가시키다""는 의미에 맞는 올바른 표현은?",병력을 늘이다,병력을 늘리다,병력을 늘여 놓다,병력을 늘여서,2
부딪다'의 강조 의미로 주어가 직접 행동한 경우에 쓰는 동사는?,부딪히다,부딪치다,부딪히게 하다,부딪게 되다,2
부딪다'의 피동 의미로 주어가 행동을 당한 경우에 쓰는 동사는?,부딪치다,부딪히다,부딪어,부딪고,2
"""파도가 바위에 부딪쳤다""에서 '-쳤다'의 사용이 올바른 이유는?",피동의 의미를 나타내기 때문,파도가 직접 부딪는 행동을 강조하기 때문,바위가 부딪힘을 당했기 때문,문장의 간결성을 위함,2
"""빙산에 부딪혀 배가 침몰했다""에서 '-혀'의 사용이 올바른 이유는?",배가 직접 부딪는 행동을 강조하기 때문,배가 빙산에 의해 부딪힘을 당했기 때문,배가 빙산과 의도적으로 충돌했기 때문,동사의 변화형을 나타내기 위함,2
다음 중 올바른 한국어 표기는?,몇 일,며칠,몇 일째,며칠째로,2
겹겹이 포개어 얹어 놓거나 명예 신뢰를 얻는다는 뜻의 피동형은?,쌓이다,싸이다,싸여있다,쌓여있다,1
씌워 가리거나 둘러 말거나 뒤덮는다는 뜻의 피동형은?,쌓이다,싸이다,싸여있다,쌓여있다,2
"""책상에 먼지가 쌓이다.""에서 밑줄 친 동사의 사용이 올바른 이유는?",먼지가 책상 위를 덮었기 때문,먼지가 겹겹이 포개어져서 놓였기 때문,먼지가 책상을 감쌌기 때문,먼지가 책상에 스며들었기 때문,2
"""슬픔(의혹)에 싸이다.""에서 밑줄 친 동사의 사용이 올바른 이유는?",슬픔이 겹겹이 쌓였기 때문,슬픔이 마음을 뒤덮거나 감쌌기 때문,슬픔이 축적되었기 때문,슬픔이 명확히 드러났기 때문,2
눈에 보이다' 또는 '공간적으로나 시간적으로 사이가 떨어지게 하다'의 의미로 쓰이는 동사는?,띠다,띄다,띄우다,뜨이다,2
용무 직책 사명 따위를 맡아 지니다' 또는 '빛깔이나 색채 따위를 가지다'의 의미로 쓰이는 동사는?,띄다,띠다,띠우다,따르다,2
"""그는 번번이 좋은 기회를 다 놓쳤다.""에서 밑줄 친 '번번이'의 올바른 의미는?,기회가 평평하게 놓였다",기회가 반듯하게 놓였다,매번,여러 번 기회를 놓쳤다,기회가 구김살 없이 놓였다,3
다음 중 자격이나 신분 지위를 나타낼 때 쓰는 표현은?,~로써,~로서,~으로써는,~에게서,2